Column1,City1,City2,City3,City4,City5,City6,City7,City8,City9,City10,City11,City12,City13,City14,City15,City16,City17,City18,City19,City20,City21,City22,City23,City24,City25,City26,City27,City28,City29,City30
City1,0.0,66.0,30.0,30.0,53.0,60.0,42.0,33.0,20.0,29.0,65.0,17.0,29.0,15.0,72.0,59.0,44.0,64.0,47.0,35.0,38.0,25.0,49.0,52.0,55.0,68.0,46.0,30.0,55.0,45.0
City2,66.0,0.0,16.0,16.0,30.0,48.0,56.0,21.0,43.0,42.0,61.0,50.0,44.0,33.0,31.0,55.0,44.0,12.0,44.0,43.0,30.0,28.0,20.0,27.0,34.0,43.0,43.0,19.0,26.0,33.0
City3,30.0,16.0,0.0,8.0,38.0,29.0,32.0,10.0,26.0,60.0,37.0,72.0,32.0,31.0,46.0,20.0,33.0,67.0,66.0,32.0,25.0,31.0,25.0,39.0,47.0,29.0,23.0,30.0,26.0,61.0
City4,30.0,16.0,8.0,0.0,18.0,35.0,25.0,17.0,61.0,53.0,27.0,14.0,30.0,74.0,45.0,41.0,45.0,47.0,74.0,24.0,58.0,42.0,62.0,11.0,40.0,43.0,45.0,27.0,16.0,52.0
City5,53.0,30.0,38.0,18.0,0.0,51.0,49.0,46.0,38.0,47.0,37.0,28.0,48.0,19.0,46.0,54.0,57.0,36.0,30.0,53.0,59.0,44.0,42.0,31.0,33.0,49.0,42.0,25.0,33.0,43.0
City6,60.0,48.0,29.0,35.0,51.0,0.0,13.0,30.0,33.0,18.0,35.0,74.0,64.0,39.0,38.0,42.0,25.0,41.0,19.0,16.0,23.0,21.0,44.0,52.0,46.0,25.0,40.0,54.0,38.0,61.0
City7,42.0,56.0,32.0,25.0,49.0,13.0,0.0,38.0,45.0,20.0,42.0,12.0,59.0,41.0,39.0,33.0,32.0,55.0,53.0,20.0,39.0,16.0,55.0,36.0,17.0,39.0,36.0,55.0,39.0,56.0
City8,33.0,21.0,10.0,17.0,46.0,30.0,38.0,0.0,10.0,26.0,38.0,33.0,31.0,30.0,43.0,45.0,44.0,26.0,44.0,46.0,56.0,43.0,40.0,24.0,24.0,48.0,41.0,20.0,56.0,31.0
City9,20.0,43.0,26.0,61.0,38.0,33.0,45.0,10.0,0.0,7.0,33.0,27.0,19.0,23.0,47.0,41.0,26.0,25.0,50.0,25.0,9.0,56.0,63.0,45.0,58.0,34.0,31.0,31.0,23.0,47.0
City10,29.0,42.0,60.0,53.0,47.0,18.0,20.0,26.0,7.0,0.0,54.0,33.0,12.0,52.0,24.0,26.0,62.0,19.0,33.0,39.0,61.0,51.0,37.0,33.0,40.0,6.0,41.0,36.0,42.0,54.0
City11,65.0,61.0,37.0,27.0,37.0,35.0,42.0,38.0,33.0,54.0,0.0,62.0,69.0,26.0,48.0,4.0,40.0,45.0,54.0,44.0,39.0,41.0,45.0,45.0,70.0,53.0,47.0,31.0,55.0,75.0
City12,17.0,50.0,72.0,14.0,28.0,74.0,12.0,33.0,27.0,33.0,62.0,0.0,35.0,34.0,53.0,17.0,40.0,54.0,7.0,42.0,33.0,64.0,18.0,25.0,3.0,57.0,60.0,54.0,50.0,33.0
City13,29.0,44.0,32.0,30.0,48.0,64.0,59.0,31.0,19.0,12.0,69.0,35.0,0.0,51.0,48.0,48.0,24.0,40.0,52.0,44.0,37.0,49.0,39.0,64.0,18.0,46.0,16.0,22.0,45.0,20.0
City14,15.0,33.0,31.0,74.0,19.0,39.0,41.0,30.0,23.0,52.0,26.0,34.0,51.0,0.0,70.0,38.0,31.0,34.0,18.0,31.0,25.0,45.0,43.0,27.0,13.0,35.0,53.0,59.0,53.0,62.0
City15,72.0,31.0,46.0,45.0,46.0,38.0,39.0,43.0,47.0,24.0,48.0,53.0,48.0,70.0,0.0,53.0,22.0,39.0,37.0,29.0,51.0,57.0,5.0,58.0,22.0,54.0,25.0,38.0,69.0,38.0
