Column1,City1,City2,City3,City4,City5,City6,City7,City8,City9,City10,City11,City12,City13,City14,City15,City16,City17,City18,City19,City20,City21,City22,City23,City24,City25,City26,City27,City28,City29,City30,City31,City32,City33,City34,City35,City36,City37,City38,City39,City40,City41,City42,City43,City44,City45,City46,City47,City48,City49,City50
City1,0.0,66.0,38.0,33.0,45.0,86.0,79.0,67.0,53.0,94.0,94.0,112.0,67.0,68.0,23.0,62.0,57.0,100.0,24.0,50.0,45.0,43.0,43.0,73.0,35.0,39.0,46.0,78.0,75.0,68.0,46.0,98.0,54.0,38.0,50.0,17.0,76.0,89.0,63.0,57.0,86.0,74.0,35.0,68.0,62.0,57.0,76.0,97.0,3.0,97.0
City2,66.0,0.0,62.0,73.0,61.0,90.0,85.0,91.0,93.0,38.0,45.0,37.0,74.0,75.0,61.0,45.0,93.0,97.0,96.0,45.0,76.0,51.0,15.0,64.0,32.0,49.0,83.0,5.0,32.0,39.0,93.0,71.0,79.0,61.0,17.0,122.0,76.0,112.0,126.0,24.0,80.0,100.0,63.0,57.0,36.0,22.0,39.0,48.0,71.0,100.0
City3,38.0,62.0,0.0,74.0,74.0,76.0,80.0,105.0,65.0,95.0,54.0,78.0,31.0,47.0,46.0,39.0,34.0,81.0,108.0,117.0,108.0,69.0,46.0,88.0,43.0,38.0,65.0,85.0,62.0,16.0,61.0,46.0,90.0,98.0,30.0,54.0,94.0,38.0,54.0,68.0,17.0,76.0,51.0,99.0,60.0,42.0,83.0,67.0,32.0,119.0
City4,33.0,73.0,74.0,0.0,109.0,49.0,38.0,82.0,37.0,82.0,61.0,63.0,77.0,93.0,64.0,68.0,44.0,30.0,67.0,73.0,51.0,125.0,81.0,76.0,27.0,36.0,63.0,54.0,52.0,73.0,73.0,108.0,42.0,56.0,29.0,55.0,69.0,118.0,82.0,56.0,88.0,34.0,96.0,36.0,53.0,44.0,78.0,97.0,20.0,86.0
City5,45.0,61.0,74.0,109.0,0.0,14.0,86.0,71.0,47.0,71.0,95.0,81.0,86.0,51.0,35.0,55.0,40.0,39.0,80.0,95.0,8.0,23.0,41.0,66.0,121.0,47.0,72.0,112.0,81.0,37.0,93.0,61.0,101.0,72.0,88.0,75.0,117.0,107.0,62.0,79.0,19.0,64.0,87.0,41.0,30.0,71.0,88.0,52.0,104.0,59.0
City6,86.0,90.0,76.0,49.0,14.0,0.0,78.0,99.0,77.0,94.0,89.0,74.0,68.0,69.0,36.0,58.0,74.0,84.0,81.0,41.0,86.0,13.0,85.0,95.0,108.0,36.0,29.0,58.0,46.0,97.0,108.0,57.0,50.0,69.0,51.0,88.0,74.0,41.0,48.0,63.0,113.0,101.0,27.0,54.0,87.0,66.0,113.0,79.0,77.0,40.0
City7,79.0,85.0,80.0,38.0,86.0,78.0,0.0,119.0,2.0,75.0,61.0,79.0,20.0,81.0,85.0,121.0,91.0,59.0,52.0,120.0,58.0,68.0,64.0,79.0,52.0,77.0,33.0,61.0,34.0,42.0,60.0,55.0,48.0,89.0,70.0,35.0,15.0,80.0,73.0,40.0,82.0,45.0,47.0,84.0,58.0,99.0,57.0,44.0,75.0,71.0
City8,67.0,91.0,105.0,82.0,71.0,99.0,119.0,0.0,66.0,114.0,40.0,87.0,100.0,62.0,50.0,76.0,36.0,76.0,31.0,73.0,72.0,47.0,74.0,29.0,54.0,14.0,57.0,110.0,77.0,64.0,68.0,59.0,114.0,62.0,69.0,52.0,34.0,85.0,63.0,79.0,18.0,12.0,47.0,40.0,87.0,30.0,81.0,98.0,42.0,63.0
City9,53.0,93.0,65.0,37.0,47.0,77.0,2.0,66.0,0.0,78.0,87.0,110.0,39.0,42.0,31.0,67.0,42.0,58.0,74.0,49.0,69.0,65.0,47.0,98.0,64.0,88.0,98.0,85.0,117.0,91.0,26.0,75.0,84.0,25.0,76.0,38.0,87.0,83.0,76.0,91.0,74.0,47.0,98.0,48.0,56.0,56.0,71.0,120.0,51.0,87.0
City10,94.0,38.0,95.0,82.0,71.0,94.0,75.0,114.0,78.0,0.0,90.0,73.0,24.0,88.0,70.0,77.0,98.0,42.0,58.0,57.0,77.0,38.0,92.0,108.0,18.0,89.0,47.0,97.0,62.0,84.0,63.0,40.0,75.0,96.0,64.0,108.0,81.0,49.0,41.0,65.0,74.0,45.0,47.0,100.0,77.0,37.0,102.0,116.0,95.0,12.0
